studyAccession,individualAccession,individualName,sampleAccession,sampleDescription,sampleName,gender,runAccession,dataName,experimentAccession,platform,strategy
,HRI968399,Null,HRS1236345,,T342,male,HRR1756976,HRR1756976_f1.fq.gz::NOT_FOUND,HRX1413827,Null,
,HRI968399,Null,HRS1236345,,T342,male,HRR1756976,HRR1756976_r2.fq.gz::NOT_FOUND,HRX1413827,Null,
,HRI968400,Null,HRS1236346,,T343,male,HRR1756625,HRR1756625_f1.fq.gz::NOT_FOUND,HRX1413476,Null,
,HRI968400,Null,HRS1236346,,T343,male,HRR1756625,HRR1756625_r2.fq.gz::NOT_FOUND,HRX1413476,Null,
,HRI968400,Null,HRS1236346,,T343,male,HRR1756977,HRR1756977_f1.fq.gz::NOT_FOUND,HRX1413828,Null,
,HRI968400,Null,HRS1236346,,T343,male,HRR1756977,HRR1756977_r2.fq.gz::NOT_FOUND,HRX1413828,Null,
,HRI968401,Null,HRS1236347,,T344,male,HRR1756626,HRR1756626_f1.fq.gz::NOT_FOUND,HRX1413477,Null,
,HRI968401,Null,HRS1236347,,T344,male,HRR1756626,HRR1756626_r2.fq.gz::NOT_FOUND,HRX1413477,Null,
,HRI968401,Null,HRS1236347,,T344,male,HRR1756978,HRR1756978_f1.fq.gz::NOT_FOUND,HRX1413829,Null,
,HRI968401,Null,HRS1236347,,T344,male,HRR1756978,HRR1756978_r2.fq.gz::NOT_FOUND,HRX1413829,Null,
,HRI968402,Null,HRS1236348,,T345,female,HRR1756627,HRR1756627_f1.fq.gz::NOT_FOUND,HRX1413478,Null,
,HRI968402,Null,HRS1236348,,T345,female,HRR1756627,HRR1756627_r2.fq.gz::NOT_FOUND,HRX1413478,Null,
,HRI968402,Null,HRS1236348,,T345,female,HRR1756979,HRR1756979_f1.fq.gz::NOT_FOUND,HRX1413830,Null,
,HRI968402,Null,HRS1236348,,T345,female,HRR1756979,HRR1756979_r2.fq.gz::NOT_FOUND,HRX1413830,Null,
,HRI968403,Null,HRS1236349,,T346,female,HRR1756628,HRR1756628_f1.fq.gz::NOT_FOUND,HRX1413479,Null,
,HRI968403,Null,HRS1236349,,T346,female,HRR1756628,HRR1756628_r2.fq.gz::NOT_FOUND,HRX1413479,Null,
,HRI968403,Null,HRS1236349,,T346,female,HRR1756980,HRR1756980_f1.fq.gz::NOT_FOUND,HRX1413831,Null,
,HRI968403,Null,HRS1236349,,T346,female,HRR1756980,HRR1756980_r2.fq.gz::NOT_FOUND,HRX1413831,Null,
,HRI968404,Null,HRS1236350,,T347,male,HRR1756629,HRR1756629_f1.fq.gz::NOT_FOUND,HRX1413480,Null,
,HRI968404,Null,HRS1236350,,T347,male,HRR1756629,HRR1756629_r2.fq.gz::NOT_FOUND,HRX1413480,Null,
,HRI968404,Null,HRS1236350,,T347,male,HRR1756981,HRR1756981_f1.fq.gz::NOT_FOUND,HRX1413832,Null,
,HRI968404,Null,HRS1236350,,T347,male,HRR1756981,HRR1756981_r2.fq.gz::NOT_FOUND,HRX1413832,Null,
,HRI968405,Null,HRS1236351,,T348,female,HRR1756630,HRR1756630_f1.fq.gz::NOT_FOUND,HRX1413481,Null,
,HRI968405,Null,HRS1236351,,T348,female,HRR1756630,HRR1756630_r2.fq.gz::NOT_FOUND,HRX1413481,Null,
,HRI968405,Null,HRS1236351,,T348,female,HRR1756982,HRR1756982_f1.fq.gz::NOT_FOUND,HRX1413833,Null,
,HRI968405,Null,HRS1236351,,T348,female,HRR1756982,HRR1756982_r2.fq.gz::NOT_FOUND,HRX1413833,Null,
,HRI968406,Null,HRS1236352,,T349,female,HRR1756631,HRR1756631_f1.fq.gz::NOT_FOUND,HRX1413482,Null,
,HRI968406,Null,HRS1236352,,T349,female,HRR1756631,HRR1756631_r2.fq.gz::NOT_FOUND,HRX1413482,Null,
,HRI968406,Null,HRS1236352,,T349,female,HRR1756983,HRR1756983_f1.fq.gz::NOT_FOUND,HRX1413834,Null,
,HRI968406,Null,HRS1236352,,T349,female,HRR1756983,HRR1756983_r2.fq.gz::NOT_FOUND,HRX1413834,Null,
,HRI968407,Null,HRS1236353,,T350,male,HRR1756632,HRR1756632_f1.fq.gz::NOT_FOUND,HRX1413483,Null,
,HRI968407,Null,HRS1236353,,T350,male,HRR1756632,HRR1756632_r2.fq.gz::NOT_FOUND,HRX1413483,Null,
,HRI968407,Null,HRS1236353,,T350,male,HRR1756984,HRR1756984_f1.fq.gz::NOT_FOUND,HRX1413835,Null,
,HRI968407,Null,HRS1236353,,T350,male,HRR1756984,HRR1756984_r2.fq.gz::NOT_FOUND,HRX1413835,Null,
,HRI968408,Null,HRS1236354,,T351,male,HRR1756633,HRR1756633_f1.fq.gz::NOT_FOUND,HRX1413484,Null,
,HRI968408,Null,HRS1236354,,T351,male,HRR1756633,HRR1756633_r2.fq.gz::NOT_FOUND,HRX1413484,Null,
,HRI968408,Null,HRS1236354,,T351,male,HRR1756985,HRR1756985_f1.fq.gz::NOT_FOUND,HRX1413836,Null,
,HRI968408,Null,HRS1236354,,T351,male,HRR1756985,HRR1756985_r2.fq.gz::NOT_FOUND,HRX1413836,Null,
,HRI968409,Null,HRS1236355,,T352,male,HRR1756634,HRR1756634_f1.fq.gz::NOT_FOUND,HRX1413485,Null,
,HRI968409,Null,HRS1236355,,T352,male,HRR1756634,HRR1756634_r2.fq.gz::NOT_FOUND,HRX1413485,Null,
,HRI968409,Null,HRS1236355,,T352,male,HRR1756986,HRR1756986_f1.fq.gz::NOT_FOUND,HRX1413837,Null,
,HRI968409,Null,HRS1236355,,T352,male,HRR1756986,HRR1756986_r2.fq.gz::NOT_FOUND,HRX1413837,Null,
,HRI968410,Null,HRS1236356,,T353,male,HRR1756635,HRR1756635_f1.fq.gz::NOT_FOUND,HRX1413486,Null,
,HRI968410,Null,HRS1236356,,T353,male,HRR1756635,HRR1756635_r2.fq.gz::NOT_FOUND,HRX1413486,Null,
,HRI968410,Null,HRS1236356,,T353,male,HRR1756987,HRR1756987_f1.fq.gz::NOT_FOUND,HRX1413838,Null,
